,label_column,label_value,count_samples_in_group,percentage_above_min_value,group
6774,FA,4004054,5,100.0,HIGH
6776,FA,4003201,3,100.0,HIGH
6766,FA,4003160,2,100.0,HIGH
6777,FA,4000504,8,100.0,HIGH
6778,FA,4003861,1,100.0,HIGH
6779,FA,4003513,3,100.0,HIGH
6780,FA,4002987,2,100.0,HIGH
6781,FA,4002203,39,100.0,HIGH
6782,FA,4001428,6,100.0,HIGH
6783,FA,4004588,3,100.0,HIGH
6767,FA,4001640,1,100.0,HIGH
6765,FA,4003740,1,100.0,HIGH
6747,FA,4001987,17,100.0,HIGH
6755,FA,4000569,9,100.0,HIGH
6748,FA,4000879,11,100.0,HIGH
6749,FA,4001614,1,100.0,HIGH
6750,FA,4001121,15,100.0,HIGH
6751,FA,4002982,6,100.0,HIGH
6752,FA,4003199,5,100.0,HIGH
6753,FA,4001646,4,100.0,HIGH
6754,FA,4002771,5,100.0,HIGH
6756,FA,4001015,10,100.0,HIGH
6764,FA,4002706,1,100.0,HIGH
6757,FA,4002690,4,100.0,HIGH
6758,FA,4003232,13,100.0,HIGH
6759,FA,4001839,14,100.0,HIGH
6760,FA,4000990,14,100.0,HIGH
6761,FA,4003963,1,100.0,HIGH
6762,FA,4000397,1,100.0,HIGH
6763,FA,4001229,2,100.0,HIGH
6706,FA,4001418,10,100.0,HIGH
6705,FA,4001906,13,100.0,HIGH
6704,FA,4001182,2,100.0,HIGH
6654,FA,4003433,22,100.0,HIGH
6647,FA,4004324,1,100.0,HIGH
6648,FA,4003476,4,100.0,HIGH
6649,FA,4003941,3,100.0,HIGH
6650,FA,4001928,3,100.0,HIGH
6651,FA,4000818,22,100.0,HIGH
6652,FA,4000507,14,100.0,HIGH
6653,FA,4003284,2,100.0,HIGH
6655,FA,4000648,6,100.0,HIGH
6645,FA,4007679,1,100.0,HIGH
6656,FA,4001762,6,100.0,HIGH
6657,FA,4002713,4,100.0,HIGH
6658,FA,4003155,1,100.0,HIGH
6659,FA,4002033,12,100.0,HIGH
6660,FA,4003959,2,100.0,HIGH
6661,FA,4000743,6,100.0,HIGH
6662,FA,4001463,7,100.0,HIGH
6646,FA,4004322,1,100.0,HIGH
6644,FA,4003221,3,100.0,HIGH
6664,FA,4003645,1,100.0,HIGH
6634,FA,4003071,29,100.0,HIGH
6627,FA,4006526,2,100.0,HIGH
6628,FA,4003694,12,100.0,HIGH
6629,FA,4004413,1,100.0,HIGH
6630,FA,4004363,6,100.0,HIGH
6631,FA,4004316,2,100.0,HIGH
6632,FA,4004317,3,100.0,HIGH
6633,FA,4000719,13,100.0,HIGH
6635,FA,4001493,74,100.0,HIGH
6643,FA,4006753,2,100.0,HIGH
6636,FA,4004365,2,100.0,HIGH
6637,FA,4004319,2,100.0,HIGH
6638,FA,4000724,2,100.0,HIGH
6639,FA,4004320,1,100.0,HIGH
6640,FA,4004321,2,100.0,HIGH
6641,FA,4000727,11,100.0,HIGH
6642,FA,4006754,2,100.0,HIGH
6663,FA,4000731,6,100.0,HIGH
6665,FA,4001096,1,100.0,HIGH
6703,FA,4000888,29,100.0,HIGH
6694,FA,4003899,7,100.0,HIGH
6687,FA,4002834,2,100.0,HIGH
6688,FA,4003787,1,100.0,HIGH
6689,FA,4003771,1,100.0,HIGH
6690,FA,4001698,9,100.0,HIGH
6691,FA,4003044,7,100.0,HIGH
6692,FA,4003247,5,100.0,HIGH
6693,FA,4003586,15,100.0,HIGH
6695,FA,4001090,8,100.0,HIGH
6685,FA,4002145,1,100.0,HIGH
6696,FA,4002008,8,100.0,HIGH
6697,FA,4001508,9,100.0,HIGH
6698,FA,4004456,1,100.0,HIGH
6699,FA,4003902,9,100.0,HIGH
6700,FA,4005080,1,100.0,HIGH
6701,FA,4003424,5,100.0,HIGH
6702,FA,4002932,2,100.0,HIGH
6686,FA,4002845,4,100.0,HIGH
6684,FA,4000912,44,100.0,HIGH
6666,FA,4004368,8,100.0,HIGH
6674,FA,4003759,5,100.0,HIGH
6667,FA,4003673,8,100.0,HIGH
6668,FA,4006665,11,100.0,HIGH
6669,FA,4000477,3,100.0,HIGH
6670,FA,4002028,23,100.0,HIGH
6671,FA,4003070,1,100.0,HIGH
6672,FA,4002657,1,100.0,HIGH
6673,FA,4007719,3,100.0,HIGH
6675,FA,4003548,2,100.0,HIGH
6683,FA,4000854,20,100.0,HIGH
6676,FA,4003908,7,100.0,HIGH
6677,FA,4003314,3,100.0,HIGH
6678,FA,4003369,4,100.0,HIGH
6679,FA,4001770,3,100.0,HIGH
6680,FA,4003464,3,100.0,HIGH
6681,FA,4002777,3,100.0,HIGH
6682,FA,4003633,4,100.0,HIGH
7108,FA,4003752,1,100.0,HIGH
7109,FA,4001789,1,100.0,HIGH
7110,FA,4001430,2,100.0,HIGH
7514,FA,4001056,2,100.0,HIGH
7536,FA,4001066,1,100.0,HIGH
7537,FA,4001506,3,100.0,HIGH
